id,tanggal,teks,label
1.20794390720562E+018,2019-12-20 08: 40: 44 + 00: 00,"[cm] ada yang kuliah di universitas Pertamina dan ngekos? Boleh di Rep yaa, aku mau nanya tentang kosan sekitar sana",1
1.20789972909641E+018,2019-12-20 05: 45: 11 + 00: 00,"nama saya panji, seminar saya sering diambil yang diadakan oleh universitas pertamina",1
1.20765556340601E+018,2019-12-19 13: 34: 58 + 00: 00,Akhirnya ni sepatu kepake lagi setelah 7 tahun hibernasi didalem rak sepatu. #funfootball #physiotherapyesaunggul #lintasgenerasi @Universitas Pertamina https://www.instagram.com/p/B6QYBgUnZA5/?igshid=1wtd0ocwl6plf,1
1.20729455028649E+018,2019-12-18 13: 40: 25 + 00: 00,Pertama di Indonesia !!! . Bimbel Spesialis Persiapan Tes Masuk Universitas Pertamina. . Universitas Pertamina merupakan wujud kontribusi PT. Pertamina (Persero) kepada masyarakat melalui ... https://www.instagram.com/p/B6Nz29bF0bAQvI3sx0v9Ovpuc3dB6AAKXFHl9A0/?igshid=oe3osviu0f6h,1
1.20726172707684E+018,2019-12-18 11: 30: 00 + 00: 00,Pertamina kembali menggelar kegiatan tahunan Forum Ideasi Pertamina yang mengakselerasikan kegiatan penelitian dengan melibatkan universitas dan lembaga penelitian di Indonesia. https://www.pertamina.com/id/news-room/energia-news/-siap-jawab-tantangan-global-pertamina-rangkul-peneliti-melalui-forum-ideasi-riset-pertamina-2019 #EnergiUntukMaju #MoveOn,1
1.20713018827595E+018,2019-12-18 02: 47: 18 + 00: 00,Seminar Guru BK di MAN IC Gorontalo Dihadiri Warek Universitas Pertamina ,1
1.20683769635566E+018,2019-12-17 07: 25: 03 + 00: 00,universitas pertamina: ngapain?,0
1.20678415385892E+018,2019-12-17 03: 52: 17 + 00: 00,@erickthohir universitas pertamina program mercusuar dibawah Yayasan Pertamina ..... Yayasan Pertamina ini apa dan siapa yang donasi dan siapa yang menarik keuntungan ..?,1
1.20673317860759E+018,2019-12-17 00: 29: 44 + 00: 00,"Dalam kunjungan tersebut, adik-adik dari MAN Insan Cendikia berkesempatan untuk mengetahui profil Universitas secara langsung. Kedepannya kita mengharapkan adik-adik yang bisa bergabung menjadi bagian dari sivitas Akademika Universitas Pertamina.",1
1.2067331753276E+018,2019-12-17 00: 29: 43 + 00: 00,"Halo Sobat Muda. Pada tanggal 16 Desember 2019, Universitas Pertamina menerima kunjungan dari MAN Insan Cendikia Jambi, loh.",2
1.20670077394756E+018,2019-12-16 22: 20: 58 + 00: 00,Kalo tdk sesuai aturan dan buang2 anggaran ditutup aja dan dilebur mjd universitas umum ato mjd pusdiklat saja.,0
1.20669497111537E+018,2019-12-16 21: 57: 55 + 00: 00,"Universitas Bubarkan Pertamina Pak Erick, sudah banyak universitas di Indonesia. Di Malaysia ada Universiti Petronas, memang karena jumlah universitas di Malaysia masih sedikit.",0
1.2066846340938E+018,2019-12-16 21: 16: 50 + 00: 00,"Masing-masing penerima Beasiswa Bantuan Belajar IOM Universitas Pertamina akan menerima bantuan menerima Rp2.000.000, - (dua juta Rupiah) untuk semester Ganjil 2019/2020.",2
1.20668463048247E+018,2019-12-16 21: 16: 49 + 00: 00,"Sobat, Di penghujung semester ganjil tahun akademik 2019/2020, Ikatan Orangtua Mahasiswa (IOM) Universitas Pertamina kembali memberikan Beasiswa Bantuan Belajar kepada 15 (lima belas) Mahasiswa Universitas Pertamina yang memberikan dukungan akademik yang baik dan terkendala finansial ",2
1.20668227914304E+018,2019-12-16 21: 07: 29 + 00: 00,Apakah bisa masuk Universitas Pertamina sudah pasti bisa masuk Pertamina? atau bisakah prioritas utama masuk Pertamina? Apakah di Universitas Pertamina ada makelar masuk Pertamina?,1
1.206641775886E+018,2019-12-16 18: 26: 32 + 00: 00,"Merger saja semua nya, namanya menjadi Universitas BUMN Tauberes Indonesia.",1
1.20663663884922E+018,2019-12-16 18: 06: 07 + 00: 00,Universitas Pertamina dikelola oleh Yayasan Pertamina ... apa itu Yayasan Pertamina? Kok banyak yang aneh-aneh muncul ??,0
1.2066357221757E+018,2019-12-16 18: 02: 29 + 00: 00,"Universitas Telkom, STT PLN ngapain?",0
1.20660694216191E+018,2019-12-16 16: 08: 07 + 00: 00,Intinya jika BUMN sudah punya sekolah atau Universitas yang sudah jalan..Pak Erick tinggal audit keuangannya ada siswa membayar uang kuliah bukan gratis mayan pak hasil buat negara dan rakyat,1
1.20660590069527E+018,2019-12-16 16: 03: 59 + 00: 00,Terima kasih salah universitas ini di kaltim balikpapan ya. ..,1
1.20657674603778E+018,2019-12-16 14: 08: 08 + 00: 00,"Hahhaaaaa baru kena batunya, selama ini bumn punya bnyk anak perusahaan, universitas, hotel dll bisa sj jadi bahan korup",0
1.20655116407176E+018,2019-12-16 12: 26: 28 + 00: 00,Mahasiswa universitas pertamina ,1
1.20651910031637E+018,2019-12-16 10: 19: 04 + 00: 00,"Ya, ngapain ada Universitas Pertamina dan universitas2 BUMN yang sejenis. Ngapain.",0
1.20651541853111E+018,2019-12-16 10: 04: 26 + 00: 00,"Universitas Telkom, kok gaj Lo kritik? Gak ada Ahoknya ya ...?",0
1.20651432138515E+018,2019-12-16 10: 00: 04 + 00: 00,"Udah buat universitas sendiri, dapat dikumpulkan ga otomatis diterima kerja di Pertamina, bayar juga mahal, ada event2 minta sponsor ke pertamina ditolak, lalu hanya utk bisnis kah universitas yang didirikan?",0
1.20651297165812E+018,2019-12-16 09: 54: 43 + 00: 00,Jembatan baru untuk menghubungkan universitas pertamina ke PT. Pertamina (Pesero) Supaya mahasiswa nya bisa Demo Komut ..,0
1.20651232020718E+018,2019-12-16 09: 52: 07 + 00: 00,Jika BUMN mendirikan universitas Baru dengan tujuan menyelesaikan dan memudahkan Bangsa dengan ilmu dan teknologi mutakhir ya sah² saja .. Tapi jgn asal saja .. Agar terlihat keren dan cari nama .. Apalagi tujuan utk kaderisasi dan buat tujuan khilafah dan lain-lain,0
1.20650521061864E+018,2019-12-16 09: 23: 52 + 00: 00,Dari dulu Indonesia gak pernah FOKUS ... Makanya kt kalah dgn Petronas ??? Bukan hanya Pertamina ... Tapi PLN jg ada universitas ??? Buat apa ...,0
1.20650216822565E+018,2019-12-16 09: 11: 47 + 00: 00,"Universitas Pertamina lbh baik dilimpahkan ke yang lebih kompeten, untuk pendidikan profesional dalam pertamina sudah ada ",1
1.20650166988366E+018,2019-12-16 09: 09: 48 + 00: 00,"Universitas para krun, dan universitas Universitas Sinto Gendeng ",0
1.20650125913967E+018,2019-12-16 09: 08: 10 + 00: 00,"Bang @erickthohir masak gak ngerti? Kan @pertamina butuh Universitas untuk menerima kader2 serikat pegawai yang kredibel dan mampu berdemo dengan cara yang lebih efektif, mendukung orang spt @basuki_btp bisa ditolak masuk kesana ..",0
1.20645356725653E+018,2019-12-16 05: 58: 39 + 00: 00,"Sependapat sama Pak Erick, Pertamina harus fokus pada lini bisnis, nggak usah ngurusin universitas. Kalo pengen ngembangin produk biar kompetitif ya kerjasama ama PTN / PTS aja https://economy.okezone.com/read/2019/12/14/320/2141954/erick-thohir-pertanyakan-universitas-pertamina-ngapain",0
1.20640818162416E+018,2019-12-16 02: 58: 19 + 00: 00,"di tempat gue kuliah dulu juga berpikir kritis, emang Universitas Pertamina doang, gua berpikir gimana bisa dapet nilai A di setiap matkul, pikirkan gimana gua harus nyambi tanpa ngeganggu kuliah, pikirkan gimana untuk setiap kali tugas kuliah, kerjaan ato himpunan ",0
1.20640126323288E+018,2019-12-16 02: 30: 49 + 00: 00,"Halo Sobat Muda. Pada tanggal 14 Desember 2019, adik-adik dari Program Temani Aku untuk Belajar bersama Tutor dari Universitas Pertamina mengungkap edukasi Kidzania di Pasific Place.",1
1.20638315176685E+018,2019-12-16 01: 18: 51 + 00: 00,Jadi Sekolah / Perguruan Tinggi mana saja yang memakai nama perusahaan BUMN? 1. Universitas Telkom 2. Universitas Pertamina 3. Universitas PLN 4. Universitas Internasional Semen Indonesia 5. Ada lagi? Tulis di balasan ya.,1
1.20635293023371E+018,2019-12-15 23: 18: 46 + 00: 00,"Hehe universitas pertamina paling atas sedunia dan luar angkasa, yang lain gagal buat sdm yang unggul.",2
1.20632200449368E+018,2019-12-15 21: 15: 52 + 00: 00,Oke Tp universitas pertamina ngapain?,1
1.20629300767207E+018,2019-12-15 19: 20: 39 + 00: 00,Masalahnya universitas pertamina tu kok gk besar nian namanya padahal bumn negeri punya. Saya aja baru tau pertamina punya univ. Prestasi tinggi. Tapi masyarakat gak tau loh bang.,2
1.20624230323856E+018,2019-12-15 15: 59: 10 + 00: 00,Erick Thohir Pertanyakan Universitas Pertamina: Ngapain? https://economy.okezone.com/read/2019/12/14/320/2141954/erick-thohir-pertanyakan-universitas-pertamina-ngapain lewat @okezonenews,0
1.20622015020827E+018,2019-12-15 14: 31: 08 + 00: 00,"Mau menjawab, di sini kami Mahasiswa Universitas Pertamina tidak berhak atas izin PT. Pertamina. Bila kami ingin mendaftar ke PT. Pertamina juga sama pembicaraan kampus lain sesuai prosedur yang ada :))",1
1.20620084586538E+018,2019-12-15 13: 14: 26 + 00: 00,"Dengan masuk Universitas ini apakah langsung jadi pegawai pertamina? Semacam kedinasan? Atau tetep bayar2 juga, setelah lulus mah terserah nasib bawa kemana?",1
1.20617784202049E+018,2019-12-15 11: 43: 01 + 00: 00,"Saya bukan belain bapaknya, cuma kalo saya baca isi beritanya, yang bukan anak-anak Universitas Pertamina atau di Universitas Pertamina ngapain aja? Tapi ngapain Pertamina bikin Universitas Pertamina alih-alih ngelakuin CSR dengan si ergo lewat Universitas yang sudah ada.",1
1.20616720134391E+018,2019-12-15 11: 00: 44 + 00: 00,"Ini adalah utas yang bagus Mas, tp point nya bukan itu. yang dipertanyakan Pak Erick, ngapain Pertamina buat universitas, bukan Universitas Pertamina udah ngapain aja. Tp teruslah berhasil, dapat berhasil jd berhasil yang berhasil dan berguna utk bangsa.",2
1.20616678214837E+018,2019-12-15 10: 59: 05 + 00: 00,"Isi beritanya lebih ke kenapa Pertamina bikin universitas, kenapa ga kerjasama aja dengan universitas yang sudah ada. Dia ga salah misal universitas pertamina ga ada Manfaatnya atau yang lain. Ya kita coba husnudzon aja. Karena masalah dia di BUMN banyak banget ternyata",1
1.20616260298161E+018,2019-12-15 10: 42: 28 + 00: 00,PERTAMINA bikin Universitas. Di Jogja Universitas pada bikin SPBU,1
1.20616150240047E+018,2019-12-15 10: 38: 06 + 00: 00,Udah tau universitas pertamina ngapain mbak? Wkwkw,1
1.20615058956382E+018,2019-12-15 09: 54: 44 + 00: 00,"Bhaiq, sepertinya memang cuma Universitas Pertamina yang meminta begini Mungkin maksudnya bagus, tapi sepertinya kurang relevan dengan maksud dari Pak ET. Berpikir kritis kalo tidak bisa memutuskan ya percuma",1
1.20614671830092E+018,2019-12-15 09: 39: 21 + 00: 00,"Perusahaan masih membutuhkan orang2 yang cakap ilmu cakap keterampilan tidak? Kalau memang tidak perlu ya bagus. Pertamina, PT PAL, Garuda dll. Harus segera dibuka untuk kemendikbud utk dibuka jurusan2 yang mrk butuhkan di SMK. Siapa yang tahu nanti universitas cukup disetujui jurusan kedokteran.",0
1.20613482225234E+018,2019-12-15 08: 52: 05 + 00: 00,"Tidak hanya di bidang akademik, di bidang bukan akademik yang disetujui di salah satu jenis olahraga. Ukm futsal juga sudah mampu bersaing di kejuaraan antar universitas se-indonesia. Ukm futsal universitas pertamina mampu menjadi juara 2 di kejuaraan yang diadakan Universitas Indonesia",2
1.20611856673645E+018,2019-12-15 07: 47: 29 + 00: 00,"Anak Universitas Pertamina berani jawab jujur ​​pas jadi korban kecelakaan setnov wakakakakaakak, ya ga? @echaadeliaa @erikardania",2
1.20611643329133E+018,2019-12-15 07: 39: 00 + 00: 00,Universitas Pertamina doang nih yang disemprot? Universitas Telkom juga disemprot dong pak,0
1.20610798999787E+018,2019-12-15 07: 05: 27 + 00: 00,"Baru tau ada Universitas Pertamina, mulai gampang dong ya kalo mau masuk Pertamina hee",1
1.20610647475935E+018,2019-12-15 06: 59: 26 + 00: 00,"@erickthohir proyek mercusuar spt Universitas Pertamina tidak ada gunanya selain menghamburkan uang negara dan membangun kroniisme, disediakan univ lain sudah banyak yang hebat dan selama ini tidak ada masalah dalam kebutuhan kebutuhan pertamina",0
1.20610593847564E+018,2019-12-15 06: 57: 18 + 00: 00,Mungkin karena terlalu jauh dari inti bisnisnya. Anak dan cucu harus didirikan untuk mendukung bisnis inti. Jadi bukan bertanya apa saja yang sudah dihasilkan oleh universitas itu. Tapi lebih ngapain pertamina bikin universitas?,1
1.20610140484405E+018,2019-12-15 06: 39: 17 + 00: 00,"Bisa gak universitas pertamina dijamin bebas kkn, bisa diandalkan dengan perusahaan induk? Tuh gua jabarin kenapa pak @erickthohir nanya “ngapain”? Kalo memang bagi pertamina, sdm perguruan tinggi lain kurang kompeten, ada yang namanya MoU dan CSR itu gimana?",1
1.20609801189965E+018,2019-12-15 06: 25: 48 + 00: 00,Sebuah utas tentang #ErickThohir Universitas Pertamina: ngapain? ,1
1.20609406818014E+018,2019-12-15 06: 10: 08 + 00: 00,"Ini bukan masalah bagaimana universitas pertamina, mungkin pak menteri meminta .. apa yang menginisiasi pertamina untuk membuka bisnis di sektor pendidikan .. itukan sudah tidak relevan dengan sektor pertamina yang bergerak di pertambangan. Dipertanyakan adalah pertamina.",1
1.20609302363059E+018,2019-12-15 06: 05: 59 + 00: 00,"Aduh kepanjangan. Intinya, bisakah gak universitas pertanggungjawaban bebas nepotisme setelah naikwanya lulus?",1
1.20609031349786E+018,2019-12-15 05: 55: 13 + 00: 00,#UniversitasPertamina #UniversitasPertaminaNgapain #ErickThohir,1
1.20608959300033E+018,2019-12-15 05: 52: 21 + 00: 00,Terimakasih untuk @DimasAndriyan sudah mewakilkan suara untuk seluruh mahasiswa Universitas Pertamina ,1
1.20608906523108E+018,2019-12-15 05: 50: 15 + 00: 00,"baca utas ini trs mikir, ""lha ngapain erick thohir ngurusin mahasiswa ngapain aja di univnya? kayak ga masuk akal"" akhirnya kubukalah beritanya, mungkin pak erick thohir ga mempermasalahkan apa yang dilakukan mahasiswa universitas pertamina .... ",1
1.20608885535231E+018,2019-12-15 05: 49: 25 + 00: 00,"Mas, tapi salah satu kesepakatan perusahaan buat Universitas sendiri ya ada kegagalan dari univ lain yang ada untuk ciptain sdm yang unggul dan sesuai dengan kebutuhan industri, di sini mas utama utama ke Univ Pertamina. Apa yang kami butuhkan sesuai dengan kebutuhan energi industri",2
1.20607601576567E+018,2019-12-15 04: 58: 24 + 00: 00,12. Saya menganggap “Universitas Pertamina Ngapain” merupakan tantangan bagi kami. Segenap mahasiswa untuk terus maju dan berkontribusi bagi negara.,2
1.20607561366191E+018,2019-12-15 04: 56: 48 + 00: 00,"10. Selain itu Pak, di Universitas Pertamina kami menerima yang mungkin tidak ada di tempat lain. Bagaimana kita berpikir kritis pada era-jaman ini, dan bagaimana menghadirkan solusi kreatif atas segala permasalahan dengan berbagai macam resikonya.",2
1.20607265482797E+018,2019-12-15 04: 45: 03 + 00: 00,"4. Kami menyetujui semaksimal mungkin untuk merealisasikan mimpi tersebut, banyak dosen kami yang berprestasi dan lebih banyak lagi yang berhasil diperoleh oleh mahasiswa Universitas Pertamina itu sendiri.",2
1.20607178788207E+018,2019-12-15 04: 41: 36 + 00: 00,"1. Halo Pak @erickthohir saya ingin mencoba menjawab Bapak, apa yang kami lakukan di Universitas Pertamina",1
1.20607151907328E+018,2019-12-15 04: 40: 32 + 00: 00,“Universitas Pertamina: Ngapain?” A Thread,1
1.2058991757679E+018,2019-12-14 17: 15: 42 + 00: 00,"Nah iyaaa Gua jg berpikir Sebuah BUMN Pertamina membuat CSR dengan Universitas Pertamina bukan bermaksud apa apa. Selain mencerdaskan bangsa, mereka juga pasti ingin memenuhi kebutuhan industri mereka",2
1.20589132549461E+018,2019-12-14 16: 44: 31 + 00: 00,"universitas pertamina, ngapain?",1
1.20587821547601E+018,2019-12-14 15: 52: 25 + 00: 00,"Belom juga setaun pakkk Gatau ah, mo terapkan oxford aja #universitaspertamina #pertamina ",1
1.20586985711737E+018,2019-12-14 15: 19: 12 + 00: 00,"Jadi pak, kampus mana dulu pak yang dibubarkan? STT-PLN? Universitas Telkom? Stimlog? Atau kampus saya Universitas Pertamina? @erickthohir",1
1.20583476085101E+018,2019-12-14 12: 59: 44 + 00: 00,Erick Thohir Pertanyakan Universitas Pertamina: Ngapain? ,1
1.20533632289163E+018,2019-12-13 03: 59: 08 + 00: 00,"Ini merupakan langkah positif untuk Universitas Pertamina semakin maju. Semoga kedepannya banyak perguruan tinggi internasional lainnya yang dapat membantu Universitas Pertamina, ya sobat!",2
1.2050809872578E+018,2019-12-12 11: 04: 31 + 00: 00,Prestasi Universitas Pertamina kali ini berasal dari tim mahasiswa Fakultas Teknologi Eksplorasi dan Produksi. Tim yang menamai diri mereka Epidote berhasil meraih Juara 2 dan Presenter Favorit pada ajang Geohazard Smart Competition PGE 2019 yang diselenggarakan oleh PT PGE.,2
1.20499399730901E+018,2019-12-12 05: 18: 51 + 00: 00,Konvensi Bersama Universitas Pertamina Raih Juara Kedua dan Ketiga 2019 https://nasional.sindonews.com/read/1467189/144/universitas-pertamina-raih-juara-kedua-dan-ketiga-ajang-joint-convention-2019-1575974196 @pertamina,2
1.2043113097994E+018,2019-12-10 08: 06: 05 + 00: 00,"Dalam 2 bulan terakhir, mahasiswa Universitas Pertamina menorehkan beberapa prestasi untuk bidang geologi dan juga digital. ",2
1.20422760911189E+018,2019-12-10 02: 33: 30 + 00: 00,"Melalui Universitas Pertamina, kerja sama dilakukan untuk mempersiapkan kebutuhan SDM pada saat mempersiapkan berdirinya kilang untuk mencapai kilang Pertamina. Penandatanganan persetujuan digelar di Ruang Pertamax Lantai 21 Gedung Utama Kantor Pusat Pertamina pada 4 Desember 2019.",2
1.2038550100412E+018,2019-12-09 01: 52: 55 + 00: 00,Pertamina Bekerja Sama dengan Universitas dan Politeknik ,1
1.20281493391152E+018,2019-12-06 05: 00: 02 + 00: 00,Mahasiswa Universitas Pertamina Penghargaan dari PT Pertamina EP Cepu ADK - Warta Ekonomi ,1
1.20258394504645E+018,2019-12-05 13: 42: 10 + 00: 00,"Sobat Muda, Program Studi Kimia Universitas Pertamina melakukan kunjungan industri (studi banding) ke PT. Nestle Karawang Factory pada 5 Desember 2019. Kunjungan ini dilakukan oleh Wisnu Renggo Pambudi selaku Galeri Komunikasi Asisten PT. Pabrik Nestle Karawang.",2
1.20216434323786E+018,2019-12-04 09: 54: 49 + 00: 00,"@UnivPertamina maaf mau tanya, apa benar lomba ini yang diadakan Universitas Pertamina? ",1
1.20210741185665E+018,2019-12-04 06: 08: 35 + 00: 00,Kunjungan tersebut membahas sinergi kedepan antara Universitas Pertamina dengan KEMENRISTEK untuk membangun ekosistem penelitian berbasis digital. Semoga ini menjadi kabar bahagia ya sobat!,1
1.20210740845926E+018,2019-12-04 06: 08: 34 + 00: 00,"Hal Sobat Muda. Pada tanggal 2 Desember 2019, delegasi Universitas Pertamina melakukan audiensi ke Kementerian Riset dan Teknologi (KEMENRISTEK) Republik Indonesia dan ditangani oleh Menristek, Prof. Bambang Permadi Soemantri Brodjonegoro Ph.D.",2
1.20180942535632E+018,2019-12-03 10: 24: 30 + 00: 00,Halo Sobat Muda. Program Mahasiswa Tim Studi Ekonomi Universitas Pertamina Angkatan 2019 berhasil mendapat juara ke-3 di ajang Kompetisi Rencana Bisnis Nasional 2019 dalam rangkaian Universitas Indonesia Entrepreneur Series (UIES) 2019,2
1.20176300300097E+018,2019-12-03 07: 20: 02 + 00: 00,"Tadi pagi saya mengisi Kuliah Tamu, “Pemberdayaan Masyarakat Menuju Akses Energi yang Selaras Dengan Kelestarian Lingkungan,” di Universitas Pertamina - di Universitas Pertamina",1
1.20141615964962E+018,2019-12-02 08: 21: 48 + 00: 00,"Informasi penting untuk Sobat Muda! Perpustakaan Universitas Pertamina mendukung Ujian Akhir Semester dengan menambah jam operasional. Mulai tanggal 2-20 / 12/2019 Perpustakaan Universitas Pertamina BUKA Pukul 07.00-20.00 WIB Yuk, ke perpustakaan. Manfaatkan fasilitasnya dg baik",1
1.20141488253873E+018,2019-12-02 08: 16: 43 + 00: 00,"Untuk pemenang kategori poster ilmiah nasional, juara pertama berhasil diraih oleh tim dari ITB, juara kedua diraih oleh tim dari UGM, dan juara favorit diraih oleh tim dari Universitas Pertamina.",2
1.20141487446895E+018,2019-12-02 08: 16: 41 + 00: 00,"Universitas Pertamina melalui Unit Kegiatan Kemahasiswaan, Riset dan Karya Ilmiah, mengadakan kompetisi, Kompetisi Makalah Ilmiah Universitas Pertamina 2019 dengan tema “Diversifikasi Energi untuk Pembangunan Indonesia” pada tanggal 29 November 2019 ",1
1.20135862644882E+018,2019-12-02 04: 33: 11 + 00: 00,Aamin. Sukses semua untuk keluarga Manajemen Universitas Pertamina.,2
1.20117396386436E+018,2019-12-01 16: 19: 24 + 00: 00,Lo itu mahasiswa universitas pertamina bukan?,1
1.20063541647644E+018,2019-11-30 04: 39: 24 + 00: 00,"Di hari Selasa tanggal 3 Desember 2019 dari jam 9:00 s / d 11:30 WIB saya akan mengisi Kuliah Tamu, “Pemberdayaan Masyarakat Menuju Akses Energi yang Selaras dengan Kelestarian Lingkungan,” di Universitas Pertamina (Ruangan 2807 Gedung Griya Legita) - di Universitas Pertamina",1
1.20024426427953E+018,2019-11-29 02: 45: 06 + 00: 00,"Pada Ujian Masuk Periode Januari 2020 ini, Sobat Muda dapat memilih 4 (empat) program studi yang ada di Universitas Pertamina. Selain itu, Sobat Muda juga berkesempatan menganjukan BEASISWA EKONOMI Universitas Pertamina. Yuk, ikut menjadi bagian dari Universitas Pertamina.",2
1.20024425560572E+018,2019-11-29 02: 45: 04 + 00: 00,"Dikelola oleh Yayasan Pertamina, Universitas Pertamina kembali dibuka. Ujian Masuk bagi siswa / siswi SMA / SMK / MA / sederajat untuk Tahun Akademik 2020/2021 yang diselenggarakan serentak di 15 Kota Indonesia.",1
1.20024425190211E+018,2019-11-29 02: 45: 03 + 00: 00,Hallo Sobat Muda! Ada kabar gembira buat kamu! Pendaftaran Ujian Masuk Universitas Pertamina Periode Januari Tahun Akademik 2020/2021 TELAH DIBUKA!,1
1.19999266414755E+018,2019-11-28 10: 05: 20 + 00: 00,terima kasih undangan universitas pertamina. hari ini pertama kali berkunjung ke sesama sodara universitas bumn ini. memberikan kuliah tamu ke dosen dan mahasiswa prodi ilmu komputer. #researcherlife # dataanalytics… https://www.instagram.com/p/B5Z7IUBAX0f/?igshid=1t1f8b4dhqw35,1
1.19997844252501E+018,2019-11-28 09: 08: 49 + 00: 00,"Halo Sobat Muda. Mahasiswa Program Studi Ilmu Komunikasi Universitas Pertamina Angkatan 2016, Ilham Ayatullah Syamtar, berhasil meraih juara kedua di ajang Gelora Esai Nasional 2019 yang berlangsung pada tanggal 23-24 November 2019 di Universitas Pendidikan Ganesha, Bali.",2
1.19956610175309E+018,2019-11-27 05: 50: 20 + 00: 00,"Sobat Muda, mahasiswa Program Studi Teknik Geologi Universitas Pertamina Angkatan 2017 yang beranggotakan Tunggul Mirza Pratama, Saviska, dan Yan Satriyo berhasil meraih juara pertama pada kategori kompetisi kertas pd kompetesi GTA 2019 yang berhasil pada 21-23 November 2019 ",2
1.19927709509403E+018,2019-11-26 10: 41: 55 + 00: 00,Sobat Muda. Universitas Pertamina menerima kabar bahagia lagi. Kali ini datang dari Tim Mahasiswa Universitas yang meraih dua juara dalam ajang Konvensi Gabungan Yogyakarta 2019.,2
1.19898024564433E+018,2019-11-25 15: 02: 21 + 00: 00,"Menjadi Guru Tamu di Hari Guru. Kuliah Tamu di Fakultas Ekonomi Bisnis Universitas Pertamina, Jakarta. Berbagi dan berdiskusi tentang Koperasi dan UMKM menghadiri era industri 4.0. Anal-anak mahasiswanya aktif, ... https://www.instagram.com/p/B5SuPzrnv6y/?igshid=1rouifskcqvv6",1
1.19889223716307E+018,2019-11-25 09: 12: 38 + 00: 00,"Seluruh Pimpinan dan Sivitas Akademik Universitas Pertamina menyetujui selamat memperingati Hari Guru Nasional, 25 November 2019. ",1
1.19883970629471E+018,2019-11-25 05: 43: 54 + 00: 00,"Kedubes Kazakhstan mendukung inisiatif Universitas Petamina untuk mendukung kerjasama bidang pendidikan. Pertukaran pelajar khususnya dengan universitas-universitas di Kazakhstan. Semoga ini menjadi kabar baik untuk Universitas Pertamina ke depan, Sobat!",2
1.19883970025914E+018,2019-11-25 05: 43: 52 + 00: 00,"Halo Sobat Muda. Pada tanggal 22 November 2019, Universitas Pertamina menerima kunjungan dari Kedutaan Besar (Kedubes) Republik Kazakhstan untuk Republik Indonesia.",2
